,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
43,44,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%
44,45,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
45,46,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
46,47,Old,"$90,146,510","$48,276,510",53.6%,"$41,870,000",46.4%
47,48,Mortal Kombat,"$83,726,031","$42,326,031",50.6%,"$41,400,000",49.4%
48,49,Boonie Bears: The Wild Life,"$77,961,427",-,-,"$77,961,427",100%
49,50,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
50,51,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
51,52,1921,"$75,159,828",-,-,"$75,159,828",100%
52,53,West Side Story,"$75,079,121","$38,420,245",51.2%,"$36,658,876",48.8%
53,54,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
54,55,Belle,"$63,163,907","$4,006,300",6.3%,"$59,157,607",93.7%
55,56,Ron's Gone Wrong,"$60,692,022","$23,009,270",37.9%,"$37,682,752",62.1%
56,57,Cloudy Mountain,"$58,281,703",-,-,"$58,281,703",100%
57,58,Avatar 2021 Re-release,"$57,700,000",-,-,"$57,700,000",100%
58,59,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
59,60,Nobody,"$55,705,035","$27,568,035",49.5%,"$28,137,000",50.5%
60,61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
61,62,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
62,63,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
63,64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",48.8%,"$26,600,000",51.2%
64,65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
65,66,Luca,"$49,750,471",-,-,"$49,750,471",100%
66,67,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%
67,68,My Hero Academia: World Heroes' Mission,"$46,850,819","$12,271,658",26.2%,"$34,579,161",73.8%
68,69,The French Dispatch,"$46,281,956","$16,124,375",34.8%,"$30,157,581",65.2%
69,70,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
70,71,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%
71,72,Belfast,"$42,845,489","$9,047,410",21.1%,"$33,798,079",78.9%
72,73,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%
73,74,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
74,75,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
75,76,Tokyo Revengers,"$39,687,069",-,-,"$39,687,069",100%
76,77,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
77,78,Resident Evil: Welcome to Raccoon City,"$38,600,612","$17,000,612",44%,"$21,600,000",56%
78,79,King Richard,"$38,061,180","$15,061,180",39.6%,"$23,000,000",60.4%
79,80,Nightmare Alley,"$38,009,220","$11,296,894",29.7%,"$26,712,326",70.3%
80,81,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
81,82,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
82,83,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
83,84,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,-,"$36,065,638",100%
84,85,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
85,86,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%
86,87,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
87,88,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
88,89,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
89,90,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
90,91,Respect,"$32,104,126","$24,278,399",75.6%,"$7,825,727",24.4%
91,92,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
92,93,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
93,94,Licorice Pizza,"$30,530,197","$17,005,688",55.7%,"$13,524,509",44.3%
94,95,The Little Things,"$29,942,746","$15,342,746",51.2%,"$14,600,000",48.8%
95,96,Escape from Mogadishu,"$29,861,163","$346,271",1.2%,"$29,514,892",98.8%
96,97,Master,"$28,692,230",-,-,"$28,692,230",100%
97,98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
98,99,The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%
99,100,American Underdog,"$26,514,814","$26,514,814",100%,-,-
100,101,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
101,102,The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%
102,103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",31.6%,"$16,061,386",68.4%
103,104,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
104,105,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
105,106,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
106,107,Spencer,"$22,249,509","$7,086,632",31.9%,"$15,162,877",68.1%
107,108,Kaamelott: First Installment,"$21,965,451","$188,000",0.9%,"$21,777,451",99.1%
108,109,After We Fell,"$21,584,600","$2,170,750",10.1%,"$19,413,850",89.9%
109,110,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
110,111,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
111,112,Stillwater,"$19,697,881","$14,465,535",73.4%,"$5,232,346",26.6%
112,113,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
113,114,Dear Evan Hansen,"$19,046,191","$15,002,646",78.8%,"$4,043,545",21.2%
114,115,Parallel Mothers,"$19,003,217","$2,141,040",11.3%,"$16,862,177",88.7%
115,116,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
116,117,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
117,118,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
118,119,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
119,120,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
120,121,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
121,122,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
122,123,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
123,124,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
124,125,Railway Heroes,"$17,223,542",-,-,"$17,223,542",100%
125,126,The Wolf and the Lion,"$16,296,147","$1,851,627",11.4%,"$14,444,520",88.6%
126,127,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
127,128,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
128,129,Your Turn to Kill,"$15,476,242",-,-,"$15,476,242",100%
129,130,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
130,131,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
131,132,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
132,133,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
133,134,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
134,135,"And, the Baton Was Passed","$14,368,469",-,-,"$14,368,469",100%
135,136,Cry Macho,"$14,340,402","$10,310,734",71.9%,"$4,029,668",28.1%
136,137,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,-,"$14,269,321",100%
137,138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
138,139,Sword Art Online: Progressive - Aria of a Starless Night,"$14,027,926","$1,050,000",7.5%,"$12,977,926",92.5%
139,140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
140,141,OSS 117: From Africa with Love,"$13,433,702",-,-,"$13,433,702",100%
141,142,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
142,143,Eiffel,"$13,082,620",-,-,"$13,082,620",100%
143,144,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
144,145,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
145,146,School of Magical Animals,"$12,949,263",-,-,"$12,949,263",100%
146,147,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
147,148,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
148,149,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
149,150,Character,"$12,571,501",-,-,"$12,571,501",100%
150,151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
151,152,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
152,153,On the Line,"$11,772,156",-,-,"$11,772,156",100%
153,154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
154,155,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
155,156,Aline,"$11,088,435","$606,424",5.5%,"$10,482,011",94.5%
156,157,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",7.4%,"$9,996,115",92.6%
157,158,Krack,"$10,442,916",-,-,"$10,442,916",100%
158,159,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
159,160,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
160,161,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
161,162,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
162,163,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
163,164,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
164,165,Black Box,"$9,604,737",-,-,"$9,604,737",100%
165,166,The Soul,"$9,600,000",-,-,"$9,600,000",100%
166,167,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
167,168,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
168,169,Ainbo,"$9,382,572",-,-,"$9,382,572",100%
169,170,The Worst Person in the World,"$9,142,898","$2,770,100",30.3%,"$6,372,798",69.7%
170,171,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
171,172,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
172,173,The Vault,"$8,808,878",-,-,"$8,808,878",100%
173,174,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
174,175,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
175,176,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
176,177,Delicious,"$8,435,163",-,-,"$8,435,163",100%
177,178,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
178,179,The Medium,"$8,357,445",-,-,"$8,357,445",100%
179,180,The Protégé,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%
180,181,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
181,182,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
182,183,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
183,184,Lost Illusions,"$8,012,246",-,-,"$8,012,246",100%
184,185,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
185,186,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
186,187,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
187,188,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
188,189,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
189,190,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
190,191,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
191,192,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
192,193,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
193,194,Contra,"$7,216,863",-,-,"$7,216,863",100%
194,195,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
195,196,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
196,197,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
197,198,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%
198,199,Extinct,"$6,926,445",-,-,"$6,926,445",100%
199,200,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%
