Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Transformers: Age of Extinction,2500,504,1644,352,0.1775700935
The Hobbit: The Battle of the Five Armies,2500,187,33,2280,-0.848398865
Guardians of the Galaxy,2500,1100,1115,285,0.5884476534
Maleficent,2500,1179,902,419,0.4755944931
The Hunger Games: Mockingjay - Part 1,2500,381,25,2094,-0.6921212121
X-Men: Days of Future Past,2500,724,1560,216,0.5404255319
Captain America: The Winter Soldier,2500,678,1611,211,0.5253093363
Dawn of the Planet of the Apes,2500,992,1264,244,0.6051779935
The Amazing Spider-Man 2,2500,2454,14,32,0.9742558327
Interstellar,2500,1061,1022,417,0.4357239513
Big Hero 6,2500,2089,243,168,0.8511298183
How to Train Your Dragon 2,2500,852,1268,380,0.3831168831
American Sniper,2500,968,1083,449,0.3662667608
Godzilla,2500,671,679,1150,-0.2630422845
Rio 2,2429,1282,999,148,0.793006993
Teenage Mutant Ninja Turtles,2500,749,1570,181,0.6107526882
The Lego Movie,2500,1267,977,256,0.6638214051
Lucy,2500,1096,899,505,0.3691442848
Penguins of Madagascar,2500,1016,1252,232,0.6282051282
Edge of Tomorrow,2500,1091,1058,351,0.5131761442
Gone Girl,2500,1203,821,476,0.4329958309
Night at the Museum: Secret of the Tomb,2500,637,1778,85,0.7645429363
Noah,2500,1083,979,438,0.4240631164
The Maze Runner,2500,1064,1175,261,0.6060377358
300: Rise of an Empire,2500,777,1446,277,0.4743833017
22 Jump Street,2500,964,1271,265,0.5687550854
The Fault in Our Stars,2500,505,113,1882,-0.5768747382
Divergent,2500,1162,952,386,0.5012919897
Paddington,2500,1237,1000,263,0.6493333333
Mr. Peabody & Sherman,2500,1510,915,75,0.905362776
Neighbors,2500,978,1037,485,0.3369788107
Exodus: Gods and Kings,2500,593,1642,265,0.3822843823
Annabelle,1883,453,872,558,-0.1038575668
Hercules,2500,1007,1202,291,0.5516178737
RoboCop,2316,1015,913,388,0.4468995011
The Imitation Game,2500,1134,1065,301,0.5804878049
Non-Stop,2500,1005,1161,334,0.501120239
Dracula Untold,2500,922,1290,288,0.5239669421
The Expendables 3,2500,485,1722,293,0.2467866324
Into the Woods,2500,1065,1013,422,0.4324142569
