,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Toy Story 3,"1,066,969,703","415,004,880",38.9,"651,964,823",61.1,98.0,90.0,G,LeeUnkrich,DarlaK.Anderson,6-18-2010,415000000.0,8.3,809276,movie,Toy Story 3,0,2010,103,"Adventure,Animation,Comedy"
1,Alice in Wonderland,"1,025,467,110","334,191,110",32.6,"691,276,000",67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,6.4,405035,movie,Alice in Wonderland,0,2010,108,"Adventure,Family,Fantasy"
2,Alice in Wonderland,"1,025,467,110","334,191,110",32.6,"691,276,000",67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,7.2,12,movie,Alice in Wonderland,0,2010,99,"Fantasy,Musical"
3,Harry Potter and the Deathly Hallows: Part 1,"976,536,918","295,983,305",30.3,"680,553,613",69.7,77.0,85.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",11-19-2010,295000000.0,7.7,527205,movie,Harry Potter and the Deathly Hallows: Part 1,0,2010,146,"Adventure,Family,Fantasy"
4,Inception,"826,137,188","292,576,195",35.4,"533,560,993",64.6,87.0,91.0,PG-13,ChristopherNolan,"ChristopherNolan,EmmaThomas",7-16-2010,292600000.0,8.8,2255111,movie,Inception,0,2010,148,"Action,Adventure,Sci-Fi"
5,Shrek Forever After,"752,600,867","238,736,787",31.7,"513,864,080",68.3,58.0,54.0,PG,MikeMitchell,"GinaShay,TeresaCheng",5-21-2010,,6.3,199029,movie,Shrek Forever After,0,2010,93,"Adventure,Animation,Comedy"
6,The Twilight Saga: Eclipse,"698,491,347","300,531,751",43,"397,959,596",57,48.0,60.0,PG-13,DavidSlade,"WyckGodfrey,KarenRosenfelt",6-30-2010,300500000.0,5.0,241520,movie,The Twilight Saga: Eclipse,0,2010,124,"Action,Adventure,Drama"
7,Iron Man 2,"623,933,331","312,433,331",50.1,"311,500,000",49.9,72.0,71.0,PG-13,JonFavreau,KevinFeige,5-7-2010,312100000.0,7.0,787754,movie,Iron Man 2,0,2010,124,"Action,Adventure,Sci-Fi"
8,Tangled,"592,461,732","200,821,936",33.9,"391,639,796",66.1,,40.0,,,,,,7.8,437762,movie,Tangled,0,2010,100,"Adventure,Animation,Comedy"
9,Despicable Me,"543,113,985","251,513,985",46.3,"291,600,000",53.7,81.0,82.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JohnCohen,JanetHealy",7-9-2010,251500000.0,7.6,530731,movie,Despicable Me,0,2010,95,"Adventure,Animation,Comedy"
10,How to Train Your Dragon,"494,878,759","217,581,231",44,"277,297,528",56,99.0,91.0,PG,"ChristopherSanders,DeanDeBlois",BonnieArnold,3-26-2010,217400000.0,8.1,715401,movie,How to Train Your Dragon,0,2010,98,"Action,Adventure,Animation"
11,Clash of the Titans,"493,214,993","163,214,888",33.1,"330,000,105",66.9,27.0,40.0,PG-13,LouisLeterrier,"BasilIwanyk,KevinDeLaNoy",4-2-2010,163200000.0,5.8,279581,movie,Clash of the Titans,0,2010,106,"Action,Adventure,Fantasy"
12,The King's Speech,"423,999,102","135,453,143",31.9,"288,545,959",68.1,94.0,92.0,R,TomHooper,"IainCanning,EmileSherman,GarethUnwin",1-28-2011,138800000.0,8.0,668835,movie,The King's Speech,0,2010,118,"Biography,Drama,History"
13,The Chronicles of Narnia: The Voyage of the Dawn Treader,"415,686,217","104,386,950",25.1,"311,299,267",74.9,50.0,58.0,PG,MichaelApted,"MarkJohnson,AndrewAdamson,PhilipSteuer",12-10-2010,104400000.0,6.3,151361,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,2010,113,"Adventure,Family,Fantasy"
14,TRON: Legacy,"400,062,763","172,062,763",43,"228,000,000",57,51.0,63.0,PG,JosephKosinski,"SeanBailey,JeffreySilver,StevenLisberger",12-17-2010,172100000.0,6.8,329642,movie,Tron,0,2010,125,"Action,Adventure,Sci-Fi"
15,The Karate Kid,"359,126,022","176,591,618",49.2,"182,534,404",50.8,66.0,67.0,PG,HaraldZwart,"JerryWeintraub,WillSmith,JadaPinkettSmith,JamesLassiter,KenStovitz",6-11-2010,,6.2,177554,movie,The Karate Kid,0,2010,140,"Action,Drama,Family"
16,Black Swan,"329,398,046","106,954,678",32.5,"222,443,368",67.5,85.0,84.0,R,DarrenAronofsky,"MikeMedavoy,ArnoldMesser,BrianOliver,ScottFranklin",12-17-2010,107000000.0,8.0,742745,movie,Black Swan,0,2010,108,"Drama,Thriller"
17,Megamind,"321,885,765","148,415,853",46.1,"173,469,912",53.9,72.0,72.0,PG,TomMcGrath,"LaraBreay,DeniseNolanCascino",11-5-2010,148300000.0,7.3,250945,movie,Megamind,0,2010,95,"Action,Animation,Comedy"
18,Robin Hood,"321,669,741","105,269,730",32.7,"216,400,011",67.3,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,6.6,265180,movie,Robin Hood,0,2010,140,"Action,Adventure,Drama"
19,The Last Airbender,"319,713,881","131,772,187",41.2,"187,941,694",58.8,5.0,30.0,PG,M.NightShyamalan,"M.NightShyamalan,SamMercer,FrankMarshall",7-1-2010,131600000.0,4.0,161230,movie,The Last Airbender,0,2010,103,"Action,Adventure,Family"
