,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Harry Potter and the Deathly Hallows: Part 2,"1,341,511,219","381,011,219",28.4,"960,500,000",71.6,96.0,89.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",7-15-2011,381000000.0,8.2,839639,movie,Harry Potter and the Deathly Hallows: Part 2,0,2011,130,"Adventure,Fantasy,Mystery"
1,Transformers: Dark of the Moon,"1,123,794,079","352,390,543",31.4,"771,403,536",68.6,35.0,55.0,PG-13,MichaelBay,"LorenzodiBonaventura,TomDeSanto,DonMurphy,IanBryce",6-29-2011,352400000.0,6.2,401355,movie,Transformers: Dark of the Moon,0,2011,154,"Action,Adventure,Sci-Fi"
2,Pirates of the Caribbean: On Stranger Tides,"1,045,713,802","241,071,802",23.1,"804,642,000",76.9,33.0,54.0,PG-13,RobMarshall,JerryBruckheimer,5-20-2011,241100000.0,6.6,510552,movie,Pirates of the Caribbean: On Stranger Tides,0,2011,137,"Action,Adventure,Fantasy"
3,The Twilight Saga: Breaking Dawn - Part 1,"712,205,856","281,287,133",39.5,"430,918,723",60.5,25.0,60.0,PG-13,BillCondon,"WyckGodfrey,KarenRosenfelt,StephenieMeyer",11-18-2011,281300000.0,4.9,236412,movie,The Twilight Saga: Breaking Dawn - Part 1,0,2011,117,"Adventure,Drama,Fantasy"
4,Mission: Impossible - Ghost Protocol,"694,713,380","209,397,903",30.1,"485,315,477",69.9,93.0,76.0,PG-13,BradBird,"TomCruise,J.J.Abrams,BryanBurk",12-21-2011,209400000.0,7.4,479034,movie,Mission: Impossible - Ghost Protocol,0,2011,132,"Action,Adventure,Thriller"
5,Kung Fu Panda 2,"665,692,281","165,249,063",24.8,"500,443,218",75.2,80.0,74.0,PG,JenniferYuhNelson,MelissaCobb,5-26-2011,,7.2,274962,movie,Kung Fu Panda 2,0,2011,90,"Action,Adventure,Animation"
6,Fast Five,"626,137,675","209,837,675",33.5,"416,300,000",66.5,77.0,83.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,MichaelFottrell",4-29-2011,209800000.0,7.3,373986,movie,Fast Five,0,2011,130,"Action,Adventure,Crime"
7,The Hangover Part II,"586,764,305","254,464,305",43.4,"332,300,000",56.6,34.0,52.0,R,ToddPhillips,"ToddPhillips,DanGoldberg",5-26-2011,254500000.0,6.5,489016,movie,The Hangover Part II,0,2011,102,Comedy
8,The Smurfs,"563,749,323","142,614,158",25.3,"421,135,165",74.7,21.0,43.0,PG,RajaGosnell,JordanKerner,7-29-2011,142600000.0,5.4,88940,movie,The Smurfs,0,2011,103,"Adventure,Animation,Comedy"
9,Cars 2,"559,852,396","191,452,396",34.2,"368,400,000",65.8,39.0,49.0,G,JohnLasseter,DeniseReam,6-24-2011,,6.2,180237,movie,Cars 2,0,2011,106,"Adventure,Animation,Comedy"
10,Puss in Boots,"554,987,477","149,260,504",26.9,"405,726,973",73.1,86.0,67.0,PG,ChrisMiller,"JoeAguilar,LatifaOuaou",10-28-2011,149200000.0,6.6,155196,movie,Puss in Boots,0,2011,90,"Adventure,Animation,Comedy"
11,Sherlock Holmes: A Game of Shadows,"543,848,418","186,848,418",34.4,"357,000,000",65.6,59.0,77.0,PG-13,GuyRitchie,"JoelSilver,LionelWigram,SusanDowney,DanLin",12-16-2011,186800000.0,7.4,444166,movie,Sherlock Holmes: A Game of Shadows,0,2011,129,"Action,Adventure,Mystery"
12,Rio,"483,866,518","143,619,809",29.7,"340,246,709",70.3,72.0,71.0,G,CarlosSaldanha,"BruceAnderson,JohnC.Donkin",4-15-2011,,6.9,221910,movie,Rio,0,2011,96,"Adventure,Animation,Comedy"
13,Rise of the Planet of the Apes,"481,800,873","176,760,185",36.7,"305,040,688",63.3,82.0,77.0,PG-13,RupertWyatt,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",8-5-2011,176700000.0,7.6,517869,movie,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi"
14,Thor,"449,326,618","181,030,624",40.3,"268,295,994",59.7,77.0,76.0,PG-13,KennethBranagh,KevinFeige,5-6-2011,268000000.0,7.0,812534,movie,Thor,0,2011,115,"Action,Adventure,Fantasy"
