moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
Tooth Fairy,"
January 22, 2010 (2010-01-22) (United States and Canada)
",$48 million,1,1,2010,48000000,1/22/2010,48000000,48000000
Sanctum,"
3 February 2011 (2011-02-03) (Australia)
4 February 2011 (2011-02-04) (US)
",$30 million,1,1,2010,30000000,2/4/2011,30000000,30000000
Life as We Know It,"
October 8, 2010 (2010-10-08)
",$38 million,1,1,2010,38000000,10/8/2010,38000000,38000000
Aftershock,"
22 July 2010 (2010-07-22)
",less than $25 million,1,1,2010,25000000,7/22/2010,25000000,25000000
Killers,"
June 1, 2010 (2010-06-01) (Hollywood premiere)
June 4, 2010 (2010-06-04)
",$75 million,1,1,2010,75000000,6/4/2010,75000000,75000000
Kick-Ass,"
14 August 2013 (2013-08-14) (United Kingdom)
16 August 2013 (2013-08-16) (United States)
",$28 million,1,1,2013,28000000,8/16/2013,28000000,28000000
Nanny McPhee Returns,"
2 April 2010 (2010-04-02) (Europe)
20 August 2010 (2010-08-20) (North America)
",$35 million,1,1,2010,35000000,8/20/2010,35000000,35000000
Get Him to the Greek,"
June 4, 2010 (2010-06-04)
",$40 million,1,1,2010,40000000,6/4/2010,40000000,40000000
Burlesque,"
November 24, 2010 (2010-11-24)
",$55 million,1,1,2010,55000000,11/24/2010,55000000,55000000
The Last Song,"
March 31, 2010 (2010-03-31)
",$20 million,1,1,2010,20000000,3/31/2010,20000000,20000000
Dinner for Schmucks,"
July 30, 2010 (2010-07-30)
",$62.7–69 million,1,1,2010,69000000,7/30/2010,69000000,69000000
Marmaduke,"
June 4, 2010 (2010-06-04) (United States)
",$50 million,1,1,2010,50000000,6/4/2010,50000000,50000000
Edge of Darkness,"
January 29, 2010 (2010-01-29) (United Kingdom and United States)
",$80 million,1,1,2010,80000000,1/29/2010,80000000,80000000
Vampires Suck,"
August 18, 2010 (2010-08-18)
",$20 million,1,1,2010,20000000,8/18/2010,20000000,20000000
Letters to Juliet,"
April 25, 2010 (2010-04-25) (Tribeca Film Festival)
May 14, 2010 (2010-05-14) (United States)
",$30 million,1,1,2010,30000000,5/14/2010,30000000,30000000
The Back-up Plan,"
April 23, 2010 (2010-04-23) (United States)
",$35 million,1,1,2010,35000000,4/23/2010,35000000,35000000
Diary of a Wimpy Kid,"
May 19, 2017 (2017-05-19)
",$22 million,1,1,2017,22000000,5/19/2017,22000000,22000000
Easy A,"
September 11, 2010 (2010-09-11) (TIFF)
September 17, 2010 (2010-09-17) (United States)
",$8 million,1,1,2010,8000000,9/17/2010,8000000,8000000
The Last Exorcism,"
June 24, 2010 (2010-06-24) (Los Angeles Film Festival)
August 27, 2010 (2010-08-27)
",$1.8 million,1,1,2013,1800000,8/27/2010,1800000,1800000
Legion,"
January 22, 2010 (2010-01-22) (United States)
",$26 million,1,1,2010,26000000,1/22/2010,26000000,26000000
The Next Three Days,"
November 9, 2010 (2010-11-09) (New York City)
November 19, 2010 (2010-11-19) (United States)
",$30 million,1,1,2010,30000000,11/19/2010,30000000,30000000
Skyline,"
November 11, 2010 (2010-11-11) (Australia)
November 12, 2010 (2010-11-12) (United States)
",$10–20 million,1,1,2010,20000000,11/12/2010,20000000,20000000
127 Hours,"
4 September 2010 (2010-09-04) (Telluride Film Festival)
5 November 2010 (2010-11-05) (United States)
7 January 2011 (2011-01-07) (United Kingdom)
",$18 million,1,1,2010,18000000,1/7/2011,18000000,18000000
Why Did I Get Married Too?,"
April 2, 2010 (2010-04-02)
",$20 million,1,1,2010,20000000,4/2/2010,20000000,20000000
The Ghost Writer,"
12 February 2010 (2010-02-12) (Berlin Film Festival)
18 February 2010 (2010-02-18) (Germany)
3 March 2010 (2010-03-03) (France)
16 April 2010 (2010-04-16) (United Kingdom)
",$45 million,1,1,2010,45000000,4/16/2010,45000000,45000000
Secretariat,"
September 30, 2010 (2010-09-30) (Hollywood)
October 8, 2010 (2010-10-08) (United States)
",$35 million,1,1,2010,35000000,10/8/2010,35000000,35000000
Morning Glory,"
November 10, 2010 (2010-11-10)
",$40 million,1,1,2010,40000000,11/10/2010,40000000,40000000
Remember Me,"
March 1, 2010 (2010-03-01) (New York premiere)
March 12, 2010 (2010-03-12) (United States)
",$16 million,1,1,2010,16000000,3/12/2010,16000000,16000000
Cop Out,"
February 26, 2010 (2010-02-26)
",$30 million,1,1,2010,30000000,2/26/2010,30000000,30000000
The Crazies,"
February 26, 2010 (2010-02-26)
",$20 million,1,1,2010,20000000,2/26/2010,20000000,20000000
Little White Lies,"
11 September 2010 (2010-09-11) (TIFF)
20 October 2010 (2010-10-20) (France)
",$17.6 million,1,1,2019,17000000,10/20/2010,17600000,17600000
From Paris with Love,"
February 5, 2010 (2010-02-05) (United States)
",$52 million,1,1,2010,52000000,2/5/2010,52000000,52000000
Detective Dee: The Mystery of the Phantom Flame,"
29 September 2010 (2010-09-29) (China)
30 September 2010 (2010-09-30) (Hong Kong)
",US$20 million,1,1,2010,20000000,9/30/2010,20000000,20000000
Daybreakers,"
September 11, 2009 (2009-09-11) (TIFF)
January 8, 2010 (2010-01-08) (United States)
February 4, 2010 (2010-02-04) (Australia)
",$20 million,1,1,2010,20000000,2/4/2010,20000000,20000000
Alpha and Omega,"
September 8, 2010 (2010-09-08) (TIFF)
September 17, 2010 (2010-09-17) (United States)
",$20 million,1,1,2010,20000000,9/17/2010,20000000,20000000
The Switch,"
August 16, 2010 (2010-08-16) (ArcLight Hollywood)
August 20, 2010 (2010-08-20) (United States)
",$19 million,1,1,2010,19000000,8/20/2010,19000000,19000000
She's Out of My League,"
March 12, 2010 (2010-03-12)
",$20 million,1,1,2010,20000000,3/12/2010,20000000,20000000
Death at a Funeral,"
April 12, 2010 (2010-04-12) (Hollywood)
April 16, 2010 (2010-04-16) (United States)
",$21 million,1,1,2010,21000000,4/16/2010,21000000,21000000
Heartbreaker,"
17 March 2010 (2010-03-17)
",$10 million,1,1,2010,10000000,3/17/2010,10000000,10000000
Scott Pilgrim vs. the World,"
July 27, 2010 (2010-07-27) (Fantasia Festival)
August 13, 2010 (2010-08-13) (United States)
August 25, 2010 (2010-08-25) (United Kingdom)
April 29, 2011 (2011-04-29) (Japan)
",$60–85 million,1,1,2010,85000000,4/29/2011,85000000,85000000
StreetDance 2,"
30 March 2012 (2012-03-30) (United Kingdom)
",£7 million,1,1.28,2010,7000000,3/30/2012,7000000,8960000
Machete,"
September 1, 2010 (2010-09-01) (Venice Film Festival)
September 3, 2010 (2010-09-03)
",$10.5 million,1,1,2010,10000000,9/3/2010,10500000,10500000
When in Rome,"
January 29, 2010 (2010-01-29)
",$28 million,1,1,2010,28000000,1/29/2010,28000000,28000000
My Name Is Khan,"
10 February 2010 (2010-02-10) (Dubai)
12 February 2010 (2010-02-12) (Worldwide)
",₹500 million,1,0.013,2010,500000000,2/12/2010,500000000,6500000
Going the Distance,"
August 27, 2010 (2010-08-27) (United Kingdom)
September 3, 2010 (2010-09-03) (United States)
",$32 million,1,1,2010,32000000,9/3/2010,32000000,32000000
For Colored Girls,"
November 5, 2010 (2010-11-05)
",$21 million,1,1,2010,21000000,11/5/2010,21000000,21000000
Furry Vengeance,"
April 30, 2010 (2010-04-30)
",$35 million,1,1,2010,35000000,4/30/2010,35000000,35000000
You Will Meet a Tall Dark Stranger,"
May 15, 2010 (2010-05-15) (Cannes)
August 27, 2010 (2010-08-27) (Spain)
September 22, 2010 (2010-09-22) (United States)
",$22 million,1,1,2010,22000000,9/22/2010,22000000,22000000
Faster,"
November 24, 2010 (2010-11-24)
",$24 million,1,1,2010,24000000,11/24/2010,24000000,24000000
The Kids Are All Right,"
January 25, 2010 (2010-01-25) (Sundance Film Festival)
July 9, 2010 (2010-07-09) (United States)
",$4 million,1,1,2010,4000000,7/9/2010,4000000,4000000
Arthur 3: The War of the Two Worlds,"
October 13, 2010 (2010-10-13) (France)
March 22, 2011 (2011-03-22) (United States)
",€65 million($91 million),1,1,2010,91000000,3/22/2011,91000000,91000000
Leap Year,"
January 6, 2010 (2010-01-06) (New York City)
January 8, 2010 (2010-01-08) (United States)
February 26, 2010 (2010-02-26) (Ireland)
",$19 million,1,1,2010,19000000,2/26/2010,19000000,19000000
Potiche,"
4 September 2010 (2010-09-04) (Venice Film Festival)
10 November 2010 (2010-11-10)
",$13.2 million,1,1,2010,13000000,11/10/2010,13200000,13200000
You Again,"
September 24, 2010 (2010-09-24)
",$20 million,1,1,2010,20000000,9/24/2010,20000000,20000000
The Losers,"
April 23, 2010 (2010-04-23)
",$25 million,1,1,2010,25000000,4/23/2010,25000000,25000000
Legend of the Fist: The Return of Chen Zhen,"
21 September 2010 (2010-09-21) (China)
23 September 2010 (2010-09-23) (Hong Kong)
",¥120 million,1,0.0078,2010,120000000,9/23/2010,120000000,936000
Ramona and Beezus,"
July 23, 2010 (2010-07-23) (United States)
",$15 million,1,1,2010,15000000,7/23/2010,15000000,15000000
Let Me In,"
3 September 2010 (2010-09-03) (Telluride Film Festival)
15 September 2010 (2010-09-15) (United States)
11 February 2011 (2011-02-11) (United Kingdom)
",US$15 million,1,1,2010,15000000,2/11/2011,15000000,15000000
Biutiful,"
17 May 2010 (2010-05-17) (Cannes)
22 October 2010 (2010-10-22) (Mexico)
3 December 2010 (2010-12-03) (Spain)
",$35 million,1,1,2010,35000000,12/3/2010,35000000,35000000
Elle s'appelait Sarah,"
16 September 2010 (2010-09-16) (TIFF)
",$9.2 million,1,1,2010,9000000,9/16/2010,9200000,9200000
Lottery Ticket,"
August 20, 2010 (2010-08-20)
",$17 million,1,1,2010,17000000,8/20/2010,17000000,17000000
The Way Back,"
March 6, 2020 (2020-03-06)
",$21–25 million,1,1,2020,25000000,3/6/2020,25000000,25000000
The Way Back,"
March 6, 2020 (2020-03-06)
",$21–25 million,1,1,2020,25000000,3/6/2020,25000000,25000000
Act of Vengeance,"
5 November 2010 (2010-11-05)
","$21,000,000 million",1,1,2010,2.10E+13,11/5/2010,21000000000000,21000000000000
22 Bullets,"
24 March 2010 (2010-03-24)
",$20 million,1,1,2010,20000000,3/24/2010,20000000,20000000
Just Wright,"
May 14, 2010 (2010-05-14)
",$12 million,1,1,2010,12000000,5/14/2010,12000000,12000000
My Soul to Take,"
October 8, 2010 (2010-10-08)
",$25 million,1,1,2010,25000000,10/8/2010,25000000,25000000
Astral City: A Spiritual Journey,"
September 3, 2010 (2010-09-03)
","$10,000,000",1,1,2010,10000000,9/3/2010,10000000,10000000
Country Strong,"
November 8, 2010 (2010-11-08) (Nashville)
December 22, 2010 (2010-12-22) (United States)
",$12–15 million,1,1,2010,15000000,12/22/2010,15000000,15000000
Another Year,"
15 May 2010 (2010-05-15) (Cannes)
5 November 2010 (2010-11-05)
",$8 million,1,1,2010,8000000,11/5/2010,8000000,8000000
Youth in Revolt,"
October 19, 2009 (2009-10-19) (DAFF)
January 8, 2010 (2010-01-08) (United States)
",$18 million,1,1,2010,18000000,1/8/2010,18000000,18000000
Buried,"
September 24, 2010 (2010-09-24)
",$2 million,1,1,2010,2000000,9/24/2010,2000000,2000000
Harry Potter and the Deathly Hallows: Part 2,"
7 July 2011 (2011-07-07) (Trafalgar Square)
15 July 2011 (2011-07-15) (United Kingdom and United States)
",$250 million(shared with Part 1),1,1,2011,1000000,7/15/2011,1000000,1000000
Transformers: Dark of the Moon,"
June 23, 2011 (2011-06-23) (Moscow International Film Festival[1])
June 29, 2011 (2011-06-29) (United States[2][3])
",$195 million,1,1,2011,195000000,6/29/2011,195000000,195000000
Pirates of the Caribbean: On Stranger Tides,,Total (5 films): $1.274–1.364 billion,1,1,2011,410000000,,136400000,136400000
The Twilight Saga: Breaking Dawn - Part 1,"
October 30, 2011 (2011-10-30) (Rome Film Festival)
November 18, 2011 (2011-11-18) (United States)
",$127 million,1,1,2011,127000000,11/18/2011,127000000,127000000
Mission: Impossible - Ghost Protocol,"
December 7, 2011 (2011-12-07) (Dubai International Film Festival)
December 16, 2011 (2011-12-16) (United States)
",$145 million,1,1,2011,145000000,12/16/2011,145000000,145000000
Fast Five,"
April 15, 2011 (2011-04-15) (Rio de Janeiro)
April 29, 2011 (2011-04-29) (United States)
",$125 million,1,1,2011,125000000,4/29/2011,125000000,125000000
The Hangover Part II,"
May 19, 2011 (2011-05-19) (TCL Chinese Theatre)
May 26, 2011 (2011-05-26) (United States)
",$80 million,1,1,2013,80000000,5/26/2011,80000000,80000000
The Smurfs,"
July 31, 2013 (2013-07-31)[1]
",$105 million,1,1,2013,105000000,7/31/2013,105000000,105000000
Cars 2,"
June 18, 2011 (2011-06-18) (Hollywood)
June 24, 2011 (2011-06-24) (United States)
",$200 million,1,1,2011,200000000,6/24/2011,200000000,200000000
Puss in Boots,"
October 16, 2011 (2011-10-16) (Allure of the Seas)
October 28, 2011 (2011-10-28) (United States)
",$130 million,1,1,2011,130000000,10/28/2011,130000000,130000000
Sherlock Holmes: A Game of Shadows,"
16 December 2011 (2011-12-16)
",$125 million,1,1,2011,125000000,12/16/2011,125000000,125000000
Rise of the Planet of the Apes,"
August 5, 2011 (2011-08-05)
",$93 million,1,1,2011,93000000,8/5/2011,93000000,93000000
Thor,"
October 10, 2017 (2017-10-10) (El Capitan Theatre)
November 3, 2017 (2017-11-03) (United States)
",$180 million,1,1,2017,180000000,11/3/2017,180000000,180000000
The Intouchables,"
23 September 2011 (2011-09-23) (San Sebastian)
2 November 2011 (2011-11-02) (France)
",€9.5 million($10.8 million),1,1,2011,10000000,11/2/2011,10800000,10800000
Captain America: The First Avenger,"
July 19, 2011 (2011-07-19) (El Capitan Theatre)
July 22, 2011 (2011-07-22) (United States)
",$140–216.7 million,1,1,2011,216000000,7/22/2011,216700000,216700000
Alvin and the Chipmunks: Chipwrecked,"
December 16, 2011 (2011-12-16)
",$80 million,1,1,2011,80000000,12/16/2011,80000000,80000000
Real Steel,"
September 6, 2011 (2011-09-06) (Paris)
October 6, 2011 (2011-10-06) (Australia)
October 7, 2011 (2011-10-07) (United States)
",$110 million,1,1,2011,110000000,10/7/2011,110000000,110000000
Bridesmaids,"
April 28, 2011 (2011-04-28) (Westwood premiere)
May 13, 2011 (2011-05-13) (United States)
",$32.5 million,1,1,2011,32000000,5/13/2011,32500000,32500000
Super 8,"
June 9, 2011 (2011-06-09) (Australia)
June 10, 2011 (2011-06-10) (United States)
",$50 million,1,1,2011,50000000,6/10/2011,50000000,50000000
Rango,"
February 14, 2011 (2011-02-14) (Westwood premiere)
March 4, 2011 (2011-03-04) (United States)
",$135 million,1,1,2011,135000000,3/4/2011,135000000,135000000
The Girl with the Dragon Tattoo,"
December 12, 2011 (2011-12-12) (Odeon Leicester Square)
December 21, 2011 (2011-12-21) (United States)
December 21, 2011 (2011-12-21) (Sweden)
December 26, 2011 (2011-12-26) (United Kingdom)
",$90 million,1,1,2011,90000000,12/26/2011,90000000,90000000
The Green Hornet,"
January 10, 2011 (2011-01-10) (Los Angeles)
January 14, 2011 (2011-01-14) (United States)
",$110-120 million,1,1,2011,120000000,1/14/2011,120000000,120000000
Immortals,"
November 11, 2011 (2011-11-11)
",$75 million,1,1,2011,75000000,11/11/2011,75000000,75000000
Green Lantern,"
June 15, 2011 (2011-06-15) (Grauman's Chinese Theatre)
June 17, 2011 (2011-06-17) (United States)
",$200 million,1,1,2011,200000000,6/17/2011,200000000,200000000
The Help,"
August 9, 2011 (2011-08-09) (Beverly Hills)
August 10, 2011 (2011-08-10) (United States)
",$25 million,1,1,2011,25000000,8/10/2011,25000000,25000000
Bad Teacher,"
June 24, 2011 (2011-06-24)
",$20 million,1,1,2011,20000000,6/24/2011,20000000,20000000
Just Go with It,"
February 8, 2011 (2011-02-08) (New York City)
February 11, 2011 (2011-02-11) (United States)
",$80 million,1,1,2011,80000000,2/11/2011,80000000,80000000
Battle Los Angeles,"
March 8, 2011 (2011-03-08) (Westwood)
March 11, 2011 (2011-03-11) (United States)
",$70 million,1,1,2011,70000000,3/11/2011,70000000,70000000
Horrible Bosses,"
November 12, 2014 (2014-11-12) (London)
November 26, 2014 (2014-11-26) (United States)
",$42–57 million,1,1,2014,57000000,11/26/2014,57000000,57000000
Paranormal Activity 3,"
October 14, 2011 (2011-10-14) (Rio de Janeiro Festival)
October 21, 2011 (2011-10-21) (United States)
",$5 million,1,1,2011,5000000,10/21/2011,5000000,5000000
Mr. Popper's Penguins,"June 17, 2011 (2011-06-17)",$55 million,1,1,2011,55000000,6/17/2011,55000000,55000000
Hugo,"
October 10, 2011 (2011-10-10) (NYFF)
November 23, 2011 (2011-11-23) (United States)
",$150–170 million,1,1,2011,170000000,11/23/2011,170000000,170000000
Hop,"
March 27, 2011 (2011-03-27) (Universal Studios Hollywood)
April 1, 2011 (2011-04-01) (United States)
",$63 million,1,1,2011,63000000,4/1/2011,63000000,63000000
War Horse,"
4 December 2011 (2011-12-04) (Avery Fisher Hall)
25 December 2011 (2011-12-25) (United States)
",$66–70 million,1,1,2011,70000000,12/25/2011,70000000,70000000
The Descendants,"
September 10, 2011 (2011-09-10) (TIFF)
November 18, 2011 (2011-11-18) (United States[1])
",$20 million,1,1,2011,20000000,11/18/2011,20000000,20000000
Cowboys & Aliens,"
January 13, 1972 (1972-01-13)
",$6 million,1,1,2011,6000000,1/13/1972,6000000,6000000
In Time,"
October 20, 2011 (2011-10-20) (Westwood, Los Angeles)[2]
October 28, 2011 (2011-10-28) (United States)
",$40 million,1,1,2011,40000000,10/28/2011,40000000,40000000
Zookeeper,"
8 March 2017 (2017-03-08) (Warsaw)
31 March 2017 (2017-03-31) (United States)
21 April 2017 (2017-04-21) (United Kingdom)
",$20 million,1,1,2017,20000000,4/21/2017,20000000,20000000
The Muppets,"
November 4, 2011 (2011-11-04) (Savannah Film Festival)
November 23, 2011 (2011-11-23) (United States)
",$45 million,1,1,2011,45000000,11/23/2011,45000000,45000000
Limitless,"
March 8, 2011 (2011-03-08) (New York City)
March 18, 2011 (2011-03-18) (United States)
",$27 million,1,1,2011,27000000,3/18/2011,27000000,27000000
Johnny English Reborn,"
7 October 2011 (2011-10-07) (United Kingdom)
21 October 2011 (2011-10-21) (United States)
",$45 million,1,1,2011,45000000,10/21/2011,45000000,45000000
Happy Feet Two,"
November 13, 2011 (2011-11-13) (Grauman's Chinese Theatre)
November 18, 2011 (2011-11-18) (United States)
December 26, 2011 (2011-12-26) (Australia)
",$135 million,1,1,2011,135000000,12/26/2011,135000000,135000000
Final Destination 5,"
August 4, 2011 (2011-08-04) (Fantasia International Film Festival)
August 12, 2011 (2011-08-12) (United States)
",$40 million,1,1,2011,40000000,8/12/2011,40000000,40000000
Tower Heist,"
October 24, 2011 (2011-10-24) (The Ziegfeld Theatre[2] in New York City)
November 4, 2011 (2011-11-04) (United States)
",$75–85 million,1,1,2011,85000000,11/4/2011,85000000,85000000
Midnight in Paris,"
May 11, 2011 (2011-05-11) (Cannes)
May 13, 2011 (2011-05-13) (Spain)
May 20, 2011 (2011-05-20) (United States)
",$17 million,1,1,2011,17000000,5/20/2011,17000000,17000000
I Am Number Four,"
February 18, 2011 (2011-02-18)
",$50 million,1,1,2011,50000000,2/18/2011,50000000,50000000
Jack and Jill,"
November 11, 2011 (2011-11-11)
",$79 million,1,1,2011,79000000,11/11/2011,79000000,79000000
Friends with Benefits,"
July 18, 2011 (2011-07-18) (New York City)
July 22, 2011 (2011-07-22) (United States)
",$35 million,1,1,2011,35000000,7/22/2011,35000000,35000000
No Strings Attached,"
January 11, 2011 (2011-01-11) (Westwood, Los Angeles)
January 21, 2011 (2011-01-21) (United States)
",$25 million,1,1,2011,25000000,1/21/2011,25000000,25000000
Arthur Christmas,"
11 November 2011 (2011-11-11) (United Kingdom)
23 November 2011 (2011-11-23) (United States)
",$100 million,1,1,2011,100000000,11/23/2011,100000000,100000000
Source Code,"
March 11, 2011 (2011-03-11) (SXSW)
April 1, 2011 (2011-04-01) (United States)
April 20, 2011 (2011-04-20) (France)
",$31.9 million,1,1,2011,31000000,4/20/2011,31900000,31900000
"Crazy, Stupid, Love.","
July 19, 2011 (2011-07-19) (New York City)
July 29, 2011 (2011-07-29) (United States)
",$50 million,1,1,2011,50000000,7/29/2011,50000000,50000000
Unknown,"
16 February 2011 (2011-02-16) (Westwood)
18 February 2011 (2011-02-18) (United States)
2 March 2011 (2011-03-02) (France)
3 March 2011 (2011-03-03) (Germany)
4 March 2011 (2011-03-04) (United Kingdom)
",$30–40 million,1,1,2011,40000000,3/4/2011,40000000,40000000
