moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Monkey King Reborn,"
February 12, 2021 (2021-02-12) (China)
April 12, 2021 (2021-04-12) (international)
",,2021.0,,2021-04-12
School of Magical Animals,,,2021.0,,
The Bodin's in the Land of Smile,,,2021.0,,
The Fable: The Killer Who Doesn't Kill,,,2021.0,,
What Did You Eat Yesterday?,,,2021.0,,
Kaiserschmarrndrama,,,2021.0,,
"Caution, Hazardous Wife: The Movie",,,2021.0,,
Realm of Terracotta,,,2021.0,,
Detective Conan: The Scarlet Alibi,,,2021.0,,
Baragaki: Unbroken Samurai,"
October 15, 2021 (2021-10-15)
",,2021.0,,2021-10-15
Ainbo,"
13 February 2021 (2021-02-13) (Ukraine)
",$10 million,2021.0,10000000.0,2021-02-13
The Eleventh Chapter,"
13 April 2019 (2019-04-13) (9th Beijing International Film Festival)
2 April 2021 (2021-04-02) (China)
",,2021.0,,2021-04-02
Kaguya-sama: Love Is War,,,2021.0,,
Honey Lemon Soda,,,2021.0,,
I Don't Have Any Money Left in My Retirement Account,,,2021.0,,
White Snake 2: Green Snake,"
23 July 2021 (2021-07-23)
",,2021.0,,2021-07-23
Hard Hit,"
June 23, 2021 (2021-06-23) (South Korea)
",₩7 billion,2021.0,700000000.0,2021-06-23
Little Canned Men,,,2021.0,,
The Ice Road,"
June 25, 2021 (2021-06-25)
",,2021.0,,2021-06-25
Signal: The Movie,"
April 2, 2021 (2021-04-02)
",,2021.0,,2021-04-02
Couple from the Future,"
March 4, 2021 (2021-03-04) (Russia)
",,2021.0,,2021-03-04
Extinct,,,2021.0,,
Bheemla Nayak,"
25 February 2022 (2022-02-25)
",₹70–75 crore[a],2022.0,75.0,2022-02-25
Maison de retraite,,,2022.0,,
Valimai,"
24 February 2022 (2022-02-24)
",₹150 crore,2022.0,150.0,2022-02-24
The Pirates: The Last Royal Treasure,"
January 26, 2022 (2022-01-26)
",₩23.5 billion,2022.0,500000000.0,2022-01-26
Turning Red,"
March 1, 2022 (2022-03-01) (El Capitan Theatre)
March 11, 2022 (2022-03-11) (United States)
",$175 million,2022.0,175000000.0,2022-03-11
The Policeman's Lineage,"
January 5, 2022 (2022-01-05)
",,2022.0,,2022-01-05
Adieu Monsieur Haffmann,,,2022.0,,
Chickenhare and the Hamster of Darkness,,,2022.0,,
Waiting for Bojangles,,,2022.0,,
Bheeshma Parvam,"
3 March 2022 (2022-03-03)[1]
",,2022.0,,2022-03-03
Maigret,,,2022.0,,
Special Delivery,"
January 12, 2022 (2022-01-12)
",,2022.0,,2022-01-12
Between Two Worlds,"
February 11, 2022 (2022-02-11)
",,2022.0,,2022-02-11
Etharkkum Thunindhavan,,,2022.0,,
Permis de construire,,,2022.0,,
The Glance of Music,,,2022.0,,
Around the World in 80 Days,,,2022.0,,
Fireheart,,,2022.0,,
Bergen,,,2022.0,,
The Grandmother,"
22 September 2021 (2021-09-22) (ssiff)
28 January 2022 (2022-01-28) (Spain)
6 April 2022 (2022-04-06) (France)
",,2022.0,,2022-04-06
In Our Prime,"
March 9, 2022 (2022-03-09)
",,2022.0,,2022-03-09
Hridayam,"
21 January 2022 (2022-01-21) (India)
",₹8 crore,2022.0,8.0,2022-01-21
"Love, Sex & Pandemic","
19 March 2010 (2010-03-19)
",₹2 crore,2022.0,2.0,2010-03-19
Aaraattu,"
18 February 2022 (2022-02-18)
",₹18 crore,2022.0,18.0,2022-02-18
Heart of Oak,,,2022.0,,
Gierek,,,2022.0,,
Mister Knockout,"
February 23, 2022 (2022-02-23)
",₽200 million,2022.0,200000000.0,2022-02-23
Love Is Better Than Life,"
March 15, 2022 (2022-03-15) (El Capitan Theatre)
April 1, 2022 (2022-04-01) (United States)
",,2022.0,,2022-04-01
A Radiant Girl,,,2022.0,,
Desperate for Marriage,"
March 5, 2022 (2022-03-05)
",,2022.0,,2022-03-05
Odinnadtsat molchalivykh muzhchin,"
February 17, 2022 (2022-02-17) (Russia)
",₽310.3 million,2022.0,3000000.0,2022-02-17
Veerame Vaagai Soodum,"
4 February 2022 (2022-02-04)
",,2022.0,,2022-02-04
Aaja Mexico Challiye,"
25 February 2022 (2022-02-25)
",,2022.0,,2022-02-25
Krime Story,"
September 2, 2021 (2021-09-02) (Telluride)
November 19, 2021 (2021-11-19) (United States)
",$50 million,2022.0,50000000.0,2021-11-19
Alors on danse,,,2022.0,,
My Brothers and I,"
12 July 2021 (2021-07-12) (Cannes)
",,2022.0,,2021-07-12
Zero Fucks Given,,,2022.0,,
Adieu Paris,,,2022.0,,
The Ancestral,,,2022.0,,
America Latina,,,2022.0,,
Meppadiyan,"
14 January 2022 (2022-01-14)
",₹ 3 crore,2022.0,3.0,2022-01-14
Lynx,,,2022.0,,
Kaptan Pengu ve Arkadaslari 2,,,2022.0,,
Benden Ne Olur,,,2022.0,,
Ik wist het,,,2022.0,,
Serve the People,"
February 23, 2022 (2022-02-23)
",,2022.0,,2022-02-23
Full Time,,,2022.0,,
Hey Sinamika,"
3 March 2022 (2022-03-03)
",,2022.0,,2022-03-03
,,,,,
Ek Love Ya,"
24 February 2022 (2022-02-24)
",,2022.0,,2022-02-24
How I Learned to Fly,,,2022.0,,
Murder Party,,,2022.0,,
Reunion 2,,,2022.0,,
The Best Weekend,,,2022.0,,
Ali & Ava,,,2022.0,,
The Contractor,"
April 1, 2022 (2022-04-01)
",$40-50 million,2022.0,50000000.0,2022-04-01
C'era una volta il crimine,,,2022.0,,
L'ombra del giorno,,,2022.0,,
Nobody's Hero,,,2022.0,,
Kung Fu Zohra,,,2022.0,,
Three Times Nothing,,,2022.0,,
The Sadness,,,2022.0,,
,,,,,
I Want to Talk About Duras,,,2022.0,,
A Change of Heart,,,2022.0,,
The Bunker Game,,,2022.0,,
Naai Sekar,"
13 January 2022 (2022-01-13)
",,2022.0,,2022-01-13
Cuarentones,,,2022.0,,
Super Sharanya,"
7 January 2022 (2022-01-07)
",,2022.0,,2022-01-07
Octonauts and the Caves of Sac Actun,,,2022.0,,
Black Glasses,"
11 February 2022 (2022-02-11) (Berlinale)
24 February 2022 (2022-02-24) (Italy)
",,2022.0,,2022-02-24
Facing Monsters,,,2022.0,,
Rosy,,,2022.0,,
Malazgirt 1071,,,2022.0,,
Anka,,,2022.0,,
Arthur Rambo,"
January 25, 2008 (2008-01-25) (United States)
",$47.5–50 million,2022.0,50000000.0,2008-01-25
Kernagis,,,2022.0,,
Listeners: The Whispering,,,2022.0,,
